File Name,Component RT,Compound Name,CAS#,Component Area,Formula,Match Factor,Component RI
194-2.D,12.0413178153299,"Butanoic acid, 2-methyl-, methyl ester",868-57-5,68556.523104324,C6H12O2,76.2157744710057,1007.36307260726
164-2.D,12.041482527307,"Butanoic acid, 2-methyl-, methyl ester",868-57-5,116193.524596804,C6H12O2,77.4686641500789,1007.36820462088
129-3.D,12.0416384939971,"Butanoic acid, 2-methyl-, methyl ester",868-57-5,90499.1674483185,C6H12O2,78.3442818034086,1007.3730641532
60-2.D,12.0427453035529,"Butanoic acid, 2-methyl-, methyl ester",868-57-5,177032.035175906,C6H12O2,77.049319102419,1007.40754957323
99-2.D,12.0434320684031,"Butanoic acid, 2-methyl-, methyl ester",868-57-5,136116.867785991,C6H12O2,76.8867867082781,1007.42894744986
Aut-D129-0605.D,12.1544292051073,Isobutyl acetate,110-19-0,13679.8128335828,C6H12O2,77.9897880197517,1010.88734086641
129-2.D,12.1605030229281,Isobutyl acetate,110-19-0,21502.9285609405,C6H12O2,81.7143676854617,1011.07658585225
129-1.D,12.1607240046182,Isobutyl acetate,110-19-0,18816.750564281,C6H12O2,82.0240151195759,1011.08347108952
164-2.D,12.1612000647975,Isobutyl acetate,110-19-0,27476.960356874,C6H12O2,83.190256080349,1011.09830393511
194-3.D,12.1615396251914,Isobutyl acetate,110-19-0,37670.2298755873,C6H12O2,83.2762377396611,1011.10888378848
68-3.D,12.161992442159,Isobutyl acetate,110-19-0,34422.8427354452,C6H12O2,77.3057463346376,1011.12299243368
164-3.D,12.1620593325709,Isobutyl acetate,110-19-0,39908.3861804591,C6H12O2,83.4055772032602,1011.12507657177
462-1.D,12.1621201327559,Isobutyl acetate,110-19-0,32417.0640789437,C6H12O2,79.1012075107808,1011.1269709536
194-1.D,12.1625570284308,Isobutyl acetate,110-19-0,18297.0712481598,C6H12O2,75.242765084564,1011.1405835311
194-2.D,12.1629424731039,Isobutyl acetate,110-19-0,26411.9346153466,C6H12O2,79.2138412698546,1011.15259302396
99-1.D,12.1630095457153,Isobutyl acetate,110-19-0,20646.7264522935,C6H12O2,77.0961190201789,1011.15468283892
164-1.D,12.1633478287438,Isobutyl acetate,110-19-0,24108.0363036215,C6H12O2,79.0450962831028,1011.16522289278
99-3.D,12.1643041432586,Isobutyl acetate,110-19-0,34469.2661017755,C6H12O2,79.3529291740499,1011.19501926339
129-3.D,12.1643192278974,Isobutyl acetate,110-19-0,33968.2898837699,C6H12O2,79.3051051170254,1011.19548926305
432-1.D,12.1645712612,Isobutyl acetate,110-19-0,31443.8683646564,C6H12O2,83.2014766508495,1011.20334199096
99-2.D,12.1648519619254,Isobutyl acetate,110-19-0,17530.6282782865,C6H12O2,79.4008683813387,1011.21208792414
432-3.D,12.1649936946645,Isobutyl acetate,110-19-0,39385.7855380224,C6H12O2,81.8771532936246,1011.21650396213
397-2.D,12.165272963703,Isobutyl acetate,110-19-0,38222.0742638053,C6H12O2,80.7847427134955,1011.22520528752
397-1.D,12.1653483759615,Isobutyl acetate,110-19-0,35570.8300030082,C6H12O2,83.1871470200824,1011.22755494505
60-2.D,12.1654135544151,Isobutyl acetate,110-19-0,18085.2574747032,C6H12O2,75.6342880824949,1011.2295857428
397-3.D,12.1654713806701,Isobutyl acetate,110-19-0,37139.7844286132,C6H12O2,83.268451282153,1011.23138746441
