File Name,Component RT,Compound Name,CAS#,Component RI,Component Area,Formula,Match Factor
2-1.D,37.7912844817586,Phenol,108-95-2,2013.85024494205,7521008.31196134,C6H6O,97.7732427212667
2-2.D,37.7914324549744,Phenol,108-95-2,2013.85782476049,6453561.87109752,C6H6O,97.7193833700363
2-3.D,37.7915545168148,Phenol,108-95-2,2013.86407728792,6758518.24892703,C6H6O,97.2816452271686
4-1.D,37.9911368369554,"l-Alanine, N-(2-fluorobenzoyl)-, pentyl ester",1000314-04-2,2024.08753390818,98651.1125277102,C15H20FNO3,77.2818791233444
5-2.D,38.0129097454747,Hexestrol dimethyl ether,130-78-9,2025.20283503097,22846.3109807779,C20H26O2,78.5011518251681
6-1.D,38.0840026895705,"2,4-imidazolidinedione, 3-phenyl-",1000404-72-6,2028.84451846996,96181.8515402464,C9H8N2O2,78.9305943448422
3-2.D,38.0935337153504,1-(p-Tolyl)-2-imidazolidinone,90917-76-3,2029.33273821076,108161.371353358,C10H12N2O,77.6742169354706
1-3.D,38.0959588919536,"2,4-imidazolidinedione, 3-phenyl-",1000404-72-6,2029.45696608716,122062.552272845,C9H8N2O2,75.8726619693206
3-3.D,38.0969428427982,"2,4-imidazolidinedione, 3-phenyl-",1000404-72-6,2029.50736824087,83324.8910785567,C9H8N2O2,80.6971432026374
1-2.D,38.0970379387018,"2,4-imidazolidinedione, 3-phenyl-",1000404-72-6,2029.51223945814,113951.114499612,C9H8N2O2,79.7370854026665
3-1.D,38.0973328156554,"Benzamide, 3-methyl-N-(2-phenylethyl)-N-ethyl-",1000451-38-5,2029.52734431182,95053.3224524866,C18H21NO,76.0853348995298
3-1.D,38.0975136492222,"o-Toluylamide, N-(2-phenylethyl)-N-ethyl-",1000451-65-3,2029.53660737743,102863.976898822,C18H21NO,77.5438325284983
6-1.D,38.1893772898638,Fenobucarb,3766-81-2,2034.2422543727,78344.616919545,C12H17NO2,75.2595671951638
5-2.D,38.1920579567504,"Benzene, 1-methoxy-4-propyl-",104-45-0,2034.37956954976,97745.685291561,C10H14O,75.3568845833696
3-2.D,38.1929729102428,ortho-Hydroxypropiophenone,610-99-1,2034.42643736517,166117.31625183,C9H10O2,86.4439836225536
3-2.D,38.1933286703936,"Benzaldehyde, 4-ethoxy-",10031-82-0,2034.44466091556,174998.915970129,C9H10O2,85.7540391943397
4-3.D,38.1955196390992,"Benzene, 1-methoxy-4-propyl-",104-45-0,2034.55689166577,52970.3913168717,C10H14O,75.6627925896368
4-2.D,38.1969289324598,"Benzene, 1-methoxy-4-propyl-",104-45-0,2034.62908167502,51210.0571792943,C10H14O,79.7145381290376
1-1.D,38.1987976802028,"Benzaldehyde, 4-ethoxy-",10031-82-0,2034.72480689493,162820.638101805,C9H10O2,85.2746126818607
3-3.D,38.199120029754,ortho-Hydroxypropiophenone,610-99-1,2034.74131901209,137170.05526796,C9H10O2,80.7309275200909
3-1.D,38.2008321855137,"Benzaldehyde, 4-ethoxy-",10031-82-0,2034.82902292356,158958.177007363,C9H10O2,81.968500127282
